varos	osszeg_millio	palyzatok_szama
Berzence	1853,4	25
Besence	58	2
Besenyőd	212,7	4
Besenyőtelek	229,5	11
Besenyszög	1097	24
Besnyő	294	11
Beszterec	662,9	8
Bezedek	614,8	4
Bezenye	48,1	3
Bezi	11,3	2
Biatorbágy	3210,6	84
Bicsérd	218,1	10
Bicske	12438,5	116
Bihardancsháza	292,6	5
Biharkeresztes	1455,8	43
Biharnagybajom	3792,7	32
Bihartorda	347,9	8
Biharugra	371,9	8
Bikács	266,3	7
Bikal	732,9	16
Biri	1100,4	27
Birján	150,4	3
Boba	24,7	4
Bocfölde	370,5	14
Boconád	94,5	5
Bócsa	2508,3	31
Bocska	50	1
Bocskaikert	887,9	15
Boda	136,1	3
Bodajk	1083,1	22
Bodmér	22,1	3
Bodolyabér	5,4	3
Bodonhely	39,4	7
Bodony	764,1	9
Bodrog	50,1	6
Bodroghalom	9968,6	11
Bodrogkeresztúr	2564,1	37
Bodrogkisfalud	856	10
Bodrogolaszi	736,3	37
Bódvalenke	0,9	1
Bódvarákó	8,8	2
Bódvaszilas	636,6	19
Bogács	711,2	14
Bogád	1040,3	6
Bogádmindszent	166	4
Bogdása	318,4	3
Bogyiszló	321,3	18
Bogyoszló	39,8	3
Bojt	1112	7
Bókaháza	5	1
Bokod	317,4	7
Boldog	145	5
Boldogasszonyfa	1452,3	5
Boldogkőújfalu	178,1	8
Boldogkőváralja	619,1	24
Boldva	1411,7	30
Bolhás	10	2
Bolhó	24,5	3
Bóly	4659,5	83
Boncodfölde	4,7	2
Bonyhád	8075	213
Bonyhádvarasd	7	2
Bonnya	95,3	4
Bordány	719,3	40
Borjád	71	1
Borota	419,5	21
Borsfa	195,3	11
Borsodbóta	667	14
Borsodgeszt	32,4	8
Borsodivánka	1768,5	21
Borsodnádasd	4329,1	33
Borsodszentgyörgy	175,8	7
Borsodszirák	966,1	25
Borsosberény	156,3	6
Borszörcsök	206,1	4
Botpalád	530,7	6
Botykapeterd	144,8	7
Bozsok	29,4	6
Bózsva	38,7	4
Bő	25,5	1
Bőcs	1252,1	24
Bödeháza	5,5	3
Bögöte	143,4	2
Böhönye	2077,6	19
Bököny	645	31
Bölcske	1108,1	29
Bőny	1137,8	10
Börcs	21	3
Bősárkány	358,3	18
Bőszénfa	30,5	4
Bucsa	1793	10
Bucsu	45,9	3
Búcsúszentlászló	103,3	8
Bucsuta	27,9	2
Budajenő	251,6	13
Budakalász	2834,3	73
Budakeszi	6562,7	76
Budaörs	9615,7	316
Budapest	2806294,4	15119
Bugac	1866,6	13
Bugacpusztaháza	136,2	9
Bugyi	3840,3	37
Buj	545,1	10
Buják	1488,7	12
Buzsák	295,7	11
Bük	5788,8	95
Bükkábrány	576,9	27
Bükkaranyos	738,9	24
Bükkmogyorósd	23	3
Bükkösd	885,6	19
Bükkszék	813	8
Bükkszenterzsébet	369,6	18
Bükkszentkereszt	294,4	25
Bükkszentmárton	40,8	1
Bükkzsérc	106,4	2
Büttös	25,3	1
Cece	2572,7	27
Cégénydányád	989,6	11
Cegléd	15981,2	222
Ceglédbercel	1137,6	21
Celldömölk	6989,4	148
Cered	1562,4	28
Chernelházadamonya	206,7	4
Cibakháza	983,5	24
Cigánd	14473,5	50
Cikó	397,6	10
Cún	736,3	1
Csabacsűd	548,6	8
Csabaszabadi	70,1	3
Csabdi	89,1	9
Csabrendek	160,2	15
Csáfordjánosfa	2,4	1
Csaholc	576,4	16
Csajág	78,5	5
Csákánydoroszló	654,1	6
Csákberény	327,2	10
Csákvár	1604,6	35
Csanádapáca	253,9	19
Csanádpalota	2319,6	29
Csány	273,4	11
Csányoszró	306,3	3
Csanytelek	1103,2	15
Csapi	97,9	3
Csapod	47,3	2
Csárdaszállás	1,4	1
Csarnóta	12,9	3
Csaroda	707,4	11
Császár	87	11
Császártöltés	950,2	26
Csátalja	351,2	11
Csataszög	10,5	1
Csatka	58,5	4
Csávoly	274,7	13
Csécse	211,7	10
Csegöld	175,3	7
Csehi	1	1
Csehimindszent	238,9	6
Csemő	542,9	16
Csempeszkopács	9,5	1
Csengele	204,7	9
Csenger	6354,8	77
Csengersima	811,8	9
Csengerújfalu	495,7	6
Csengőd	251,4	10
Csénye	22,9	3
Csenyéte	60,6	2
Csép	4	1
Csépa	44,2	2
Csepreg	1742	47
Cserénfa	103,9	2
Cserépfalu	362,7	12
Cserépváralja	26,4	3
Cserháthaláp	355,2	1
Cserhátsurány	229,8	9
Cserhátszentiván	31,8	2
Cserkeszőlő	1809,5	21
Cserkút	45,5	4
Csernely	122,2	2
Cserszegtomaj	606,1	13
Csertő	31,5	4
Csesznek	9	1
Csesztreg	460	11
Csesztve	438,4	3
Csetény	267,9	7
Csévharaszt	122,3	5
Csibrák	569,7	2
Csikéria	150,1	5
Csikóstőttős	879,8	4
Csincse	36,4	2
Csitár	326,2	3
Csobád	8,8	1
Csobaj	170,7	11
Csobánka	646,7	21
Csókakő	212,2	7
Csokonyavisonta	1006,7	17
Csokvaomány	78,4	5
Csolnok	577,9	19
Csólyospálos	550,1	18
Csoma	16,2	2
Csomád	860,4	12
Csongrád	24388,9	230
Csonkahegyhát	22,9	2
Csopak	752,7	23
Csór	595,7	7
Csorna	26860,3	139
Csorvás	621,7	37
Csót	153,5	10
Csöde	12,1	1
Csögle	12	1
Csökmő	297,4	16
Csököly	83,8	5
Csömödér	82,3	6
Csömör	2867,2	42
Csönge	1452,7	13
Csörög	73,1	2
Csörötnek	952,9	4
Csősz	12	1
Csővár	338,4	9
Csurgó	4768,5	82
